,분류,충전소,주소,이용가능시간,타입,충전기용량,lon,lat,요금
693,충전소,GS25 서귀대포점,제주특별자치도 서귀포시 이어도로 129(서귀포시 대포동 2411-1),24시간 이용가능,DC차데모+DC콤보,100kW,126.4362409,33.2391543,"회원: 324.4~347.2원
비회원: 430원"
694,충전소,GS25 성산아로하점,제주특별자치도 서귀포시 성산읍 성산등용로 40(성산리 382-31),24시간 이용가능,AC완속,7kW,126.9310406,33.4663822,"회원: 324.4~347.2원
비회원: 430원"
695,충전소,GS25 성산오조점,제주특별자치도 서귀포시 성산읍 한도로 129(오조리 6),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.913004,33.467062,"회원: 324.4~347.2원
비회원: 430원"
696,충전소,GS25 안덕서광점,제주특별자치도 서귀포시 안덕면 중산간서로 18821882(안덕면 서광리716-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.3077305,33.2862497,"회원: 324.4~347.2원
비회원: 430원"
697,충전소,GS25 제주대흘점,제주특별자치도 제주시 조천읍 중산간동로 700(대흘리 1611-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.6942576,33.5029546,"회원: 324.4~347.2원
비회원: 430원"
698,충전소,GS25 제주한경점,제주특별자치도 제주시 한경면 중산간서로 3662(저지리 1724-5),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.2563389,33.3309686,"회원: 324.4~347.2원
비회원: 430원"
699,충전소,KT 성산포지사,제주특별자치도 서귀포시 서성일로 1244-3(성산읍 고성리 1106-7),24시간 이용가능,AC완속,정보없음,126.9118527,33.446787,"회원: 324.4~347.2원
비회원: 430원"
700,충전소,WE호텔,"제주특별자치도 서귀포시 1100로 453-95 (회수동, 트레블러스호텔제주)",24시간 이용가능,AC완속,정보없음,126.4441003,33.286565,"회원: 324.4~347.2원
비회원: 430원"
701,충전소,㈜상효원,제주특별자치도 서귀포시 산록남로 2847-37 (상효동 산 25),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5860938,33.3072182,"회원: 324.4~347.2원
비회원: 430원"
702,충전소,㈜튤립제주에이엠씨 호텔,제주특별자치도 서귀포시 성산읍 일출로 31,24시간 이용가능,AC완속,정보없음,126.9162124,33.4479486,"회원: 324.4~347.2원
비회원: 430원"
703,충전소,경일자동차공업사,제주특별자치도 제주시 용해로 86,24시간 이용가능,AC완속,정보없음,126.5034068,33.5094722,"회원: 324.4~347.2원
비회원: 430원"
704,충전소,곶자왈 숲펜션,제주특별자치도 제주시 조천읍 선교로 371-10,24시간 이용가능,AC완속,정보없음,126.7090194,33.472431,"회원: 324.4~347.2원
비회원: 430원"
705,충전소,관음사가는길,제주특별자치도 제주시 산록북로 819,24시간 이용가능,AC완속,정보없음,126.5538129,33.4360741,"회원: 324.4~347.2원
비회원: 430원"
706,충전소,그랜드조선 제주,제주특별자치도 서귀포시 중문관광로72번길 60(색달동 2101),24시간 이용가능,AC완속,정보없음,126.40774,33.2520261,"회원: 324.4~347.2원
비회원: 430원"
707,충전소,금강산콘도,"제주특별자치도 제주시 한림읍 협재로 210-18 (협재리, 제주금강산콘도미니엄)",24시간 이용가능,AC완속,정보없음,126.2502009,33.3795168,"회원: 324.4~347.2원
비회원: 430원"
708,충전소,기아오토큐 오라대리점,제주특별자치도 제주시 연삼로116(오라3동 2811-4),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.504749,33.4928771,"회원: 324.4~347.2원
비회원: 430원"
709,충전소,기아오토큐 화북대리점,제주특별자치도 제주시 일주동로14(화북2동 4837-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5492415,33.5118008,"회원: 324.4~347.2원
비회원: 430원"
710,충전소,꼬뜨도르호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,24시간 이용가능,AC완속,정보없음,126.8206181,33.5314441,"회원: 324.4~347.2원
비회원: 430원"
711,충전소,남원농협 하나로마트,제주특별자치도 서귀포시 남원읍 남조로52(남원읍 남원리 226),24시간 이용가능,AC완속,7kW,126.7217541,33.2843692,"회원: 324.4~347.2원
비회원: 430원"
712,충전소,내도매일조아라아파트,제주특별자치도 제주시 대통길 96,24시간 이용가능,AC완속,정보없음,126.4453339,33.4846494,"회원: 324.4~347.2원
비회원: 430원"
713,충전소,넥슨박물관,제주특별자치도 제주시 1100로3198-8(제주시 노형동 86),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.485337,33.4723868,"회원: 324.4~347.2원
비회원: 430원"
714,충전소,노블레스아파트,제주특별자치도 제주시 수덕9길 11(1063-4 노블레스아파트),24시간 이용가능,AC완속,7kW,126.4762594,33.487292,"회원: 324.4~347.2원
비회원: 430원"
715,충전소,농협 하나로마트 노형점,제주특별자치도 제주시 월광로 77(하나도마트 노형점),24시간 이용가능,DC콤보,100kW,126.4680465,33.4877055,"회원: 324.4~347.2원
비회원: 430원"
716,충전소,다이소 제주세화점,제주특별자치도 제주시 구좌읍 일주동로 3126(세화리 1560),24시간 이용가능,DC콤보,50kW,126.8329574,33.5050748,"회원: 324.4~347.2원
비회원: 430원"
717,충전소,다이아나호텔,제주특별자치도 제주시 임항로249(제주시 건입동 658-1),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5396293,33.5178257,"회원: 324.4~347.2원
비회원: 430원"
718,충전소,다희연,"제주특별자치도 제주시 조천읍 선교로 115-1 (선흘리, 다희연)",24시간 이용가능,AC완속,정보없음,126.706101,33.487383,"회원: 324.4~347.2원
비회원: 430원"
719,충전소,라림부띠끄호텔,제주특별자치도 서귀포시 안덕면 대평로 39(창천리 907-1),24시간 이용가능,AC완속,7kW,126.3646237,33.2363801,"회원: 324.4~347.2원
비회원: 430원"
720,충전소,라마다호텔 제주,제주특별자치도 제주시 탑동로 66(삼도2동 1254),24시간 이용가능,AC완속,7kW,126.5175016,33.5185924,"회원: 324.4~347.2원
비회원: 430원"
721,충전소,라온프라이빗타운,"제주특별자치도 제주시 한림읍 금능남로 127 (협재리, 라온프라이빗타운)",24시간 이용가능,AC완속,정보없음,126.24131,33.3781269,"회원: 324.4~347.2원
비회원: 430원"
722,충전소,레지나펜션,제주특별자치도 서귀포시 이어도로 789,24시간 이용가능,AC완속,정보없음,126.4995612,33.2368373,"회원: 324.4~347.2원
비회원: 430원"
723,충전소,롯데하이마트 서귀포점,제주특별자치도 서귀포시 일주동로 8631(서귀포시 동홍동 458-5),24시간 이용가능,DC차데모+AC3상+DC콤보,50kW,126.5661853,33.2539126,"회원: 324.4~347.2원
비회원: 430원"
724,충전소,롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길35(색달동 2812-4),24시간 이용가능,AC완속,7kW,126.4103936,33.2485349,"회원: 324.4~347.2원
비회원: 430원"
725,충전소,마레 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 29,24시간 이용가능,AC완속,정보없음,126.9207077,33.4493736,"회원: 324.4~347.2원
비회원: 430원"
